Datetime,Tweet Id,Text,Username
2021-11-06 23:30:15+00:00,1457128224136204290,"Everyone has an opinion on #Eternals including @TheRochaSays, @Shannon_McClung &amp; @mktoon! So join us LIVE TOMORROW, Sunday November 7th at 6:00 pm PST for our SPOILER REVIEW! Let’s ALL break down the latest from @Marvel together!

Link: https://t.co/Vvm3Y4SGs3 https://t.co/tL0Y5wHHlw",Geek_Buddies
2021-11-06 23:29:06+00:00,1457127937119903753,"ETERNALS REVIEW: Plotless, Flat, Underdeveloped, Overlong BORE!! https://t.co/wGZOWq91gc via @YouTube",SEGA4EVA1
2021-11-06 23:27:51+00:00,1457127621460992007,The Eternals - Angry Movie Review [Vlog] https://t.co/GNqwfUcl3Z via @YouTube,GearGades
2021-11-06 23:27:37+00:00,1457127561973010435,Back from the theatres for #Eternals (I had to walk home) and my mind was BLOWN! Like literally! I’ll drop the full review!!,mitsyuii
2021-11-06 23:27:35+00:00,1457127552284299265,"My spoiler free #Eternals review: My son and I loved it. Marvel makes entertaining movies. We’re fans, what can I say! Cannot wait for more from these characters @kumailn @MarvelStudios",HGDUB2002
2021-11-06 23:27:17+00:00,1457127476501483520,"Idk what them reviews talking bout, Eternals is definitely setting a new tone for the MCU 🔥🔥🔥",MikeHvm7
2021-11-06 23:26:49+00:00,1457127359895724042,"Curious as to how reviews for Eternals would have gone if it had been released last year as originally planned - Before Nomadland came out.

About the same? Possibly. 

But there wouldn't be the ""She won Best Director and then she did this?"" part of the reviews.

Who's to say.",Charliestolz
2021-11-06 23:26:15+00:00,1457127216010055681,Eternals was def a basic 3/5 for me. Review will be up shortly. Tik tok for a quick review and the podcast for full in depth,TheGeekyCast
2021-11-06 23:25:34+00:00,1457127046392471555,"I love that as I’m trying to share @DylanRoth’s (excellent) review of #Eternals I get a notification from @ChrisJamesScott leading with “So…that fucking movie…”

https://t.co/1us43MJtmL https://t.co/L9QjMNmcUZ",AllNewDom
2021-11-06 23:25:20+00:00,1457126987043061763,the eternals reviews calling it liberal trash r hilarious,oonkyboonky
2021-11-06 23:25:18+00:00,1457126980034433029,"All the critics who purposefully bombed the Eternals reviews must not have done too much damage, theater was sold out and for good reasons. Another well done movie and so obsessed that Chloe Zhao directed it! https://t.co/HOp4Wm57ic",ohhaykristinn
2021-11-06 23:25:12+00:00,1457126954801504265,My ★★★ review of Eternals on @letterboxd: https://t.co/QM0jfmDyET,danilo_sanches
2021-11-06 23:24:56+00:00,1457126885037645829,Just saw eternals and I genuinely don’t understand why it got bad reviews. I thought it was good,abby_0x0
2021-11-06 23:23:51+00:00,1457126615352287233,Eternals isn’t better than the best MCU movies but it’s better than the reviews,KanyePodcast
2021-11-06 23:23:37+00:00,1457126555444973570,Eternals review: bring Thanos back.,jon__blaze
